date,pct_change,current_price
2022-05-04,2.0686801820438694,4.934
2022-05-05,-2.209160924199427,4.825
2022-05-06,-0.683937823834202,4.792
2022-05-09,0.5217028380634536,4.817
2022-05-10,0.5189952252439234,4.842
2022-05-11,-0.165220983064851,4.834
2022-05-12,1.0343400910219458,4.884
2022-05-13,0.0,4.884
2022-05-16,-0.5118755118755147,4.859
2022-05-17,-0.8643753858818659,4.817
2022-05-18,-0.6850736973219917,4.784
2022-05-19,2.2575250836120553,4.892
2022-05-20,0.16353229762877675,4.9
2022-05-23,-3.0612244897959218,4.75
2022-05-24,0.8842105263157762,4.792
2022-05-25,3.4849749582637646,4.959
2022-05-26,-0.1814882032667775,4.95
2022-05-27,-1.0101010101010055,4.9
2022-05-30,0.8571428571428452,4.942
2022-05-31,0.16187778227438887,4.95
2022-06-01,1.6969696969696857,5.034
2022-06-02,0.0,5.034
2022-06-03,0.6555423122765358,5.067
2022-06-06,-0.4933885928557369,5.042
2022-06-07,-0.4958349861166056,5.017
2022-06-08,-0.9966115208291937,4.967
2022-06-09,0.3422589087980654,4.984
2022-06-10,1.0032102728732006,5.034
2022-06-13,0.9932459276916994,5.084
2022-06-14,0.8064516129032251,5.125
2022-06-15,-1.1317073170731717,5.067
2022-06-16,-0.6512729425695696,5.034
2022-06-17,1.1521652761223633,5.092
2022-06-20,-0.4909662215239474,5.067
2022-06-21,-2.1314387211367802,4.959
2022-06-22,0.8267795926598209,5.0
2022-06-23,-0.5000000000000115,4.975
2022-06-24,2.01005025125629,5.075
2022-06-27,1.1625615763546815,5.134
2022-06-28,-1.1492014024152786,5.075
2022-06-29,1.1625615763546815,5.134
2022-06-30,4.869497467861317,5.384
2022-07-01,-0.14858841010401136,5.376
2022-07-04,-1.7113095238095344,5.284
2022-07-05,-1.1165783497350534,5.225
2022-07-06,0.6507177033493017,5.259
2022-07-07,0.4943905685491412,5.285
2022-07-08,-1.0028382213812637,5.232
2022-07-11,-0.9938837920489441,5.18
2022-07-12,1.3513513513513598,5.25
2022-07-13,-1.161904761904764,5.189
2022-07-14,-3.738677972634419,4.995
2022-07-15,1.941941941941927,5.092
2022-07-18,0.17674783974863661,5.101
2022-07-19,4.136443834542258,5.312
2022-07-20,2.1460843373493965,5.426
2022-07-21,0.47917434574271667,5.452
2022-07-22,1.1188554658840832,5.513
2022-07-25,-0.30836205332848143,5.496
2022-07-26,-0.8005822416302877,5.452
2022-07-27,0.33015407190022383,5.47
2022-07-28,-1.444241316270567,5.391
2022-07-29,0.6492301984789561,5.426
2022-08-01,-1.7876889052709233,5.329
2022-08-02,-2.308125351848367,5.206
2022-08-03,0.672301190933533,5.241
2022-08-04,1.354703300896798,5.312
2022-08-05,-0.16942771084338393,5.303
2022-08-08,-0.9994342824816149,5.25
2022-08-09,-0.17142857142857792,5.241
2022-08-10,2.5186033199771085,5.373
2022-08-11,0.6514051740182492,5.408
2022-08-12,-0.16642011834320236,5.399
2022-08-15,0.0,5.399
2022-08-16,-0.14817558807186382,5.391
2022-08-17,-1.3170098312001444,5.32
2022-08-18,-0.6578947368421129,5.285
2022-08-19,0.17029328287605505,5.294
2022-08-22,-0.8311295806573415,5.25
2022-08-23,-1.6761904761904756,5.162
2022-08-24,-0.17435102673383218,5.153
2022-08-25,-0.5045604502231682,5.127
2022-08-26,-0.17554125219425565,5.118
2022-08-29,0.17584994138333254,5.127
2022-08-30,-1.1897795982055759,5.066
2022-08-31,0.8685353335965429,5.11
2022-09-01,0.0,5.11
2022-09-02,0.0,5.11
2022-09-05,1.1937377690802276,5.171
2022-09-06,-0.5028040997872907,5.145
2022-09-07,0.3304178814383052,5.162
2022-09-08,2.2084463386284447,5.276
2022-09-09,0.0,5.276
2022-09-12,-0.15163002274450887,5.268
2022-09-13,-0.512528473804108,5.241
